application_id,stage,outcome,gender,department,region,experience_level,years_experience,university,gpa,recruiter,source,skills,num_skills,resume_score,previous_company_type,phone,email,application_date,stage_date,days_in_stage,days_since_application,interviewer_rating,interview_notes,salary_offered,salary_accepted,quarter,month
APP_00001,Application,Advanced,Male,Product,North America,Entry,1.0495493205167783,UCLA,,Recruiter_03,Job Fair,"AWS, Analytics, SQL, Tableau",4,98.08072451421897,Non-profit,,candidate1@btoglmail.com,2025-01-30 04:04:49.887103,2025-01-30 04:04:49.887103,0,0.0,,,,,2025Q1,2025-01
APP_00002,Application,Advanced,Female,Operations,Latin America,Staff/Principal,11.256188381286751,State University.,3.3537406870447035,Recruiter_02,Referral,"AWS, SQL, Project Management, React, Machine Learning, JavaScript",6,70.48344456616067,Startup,+1-689-430-7184,candidate2@gihlbmail.com,2025-06-15 04:04:49.887811,2025-06-15 04:04:49.887811,0,0.0,,,,,2025Q2,2025-06
APP_00003,Application,Advanced,Male,Product,Europe,Senior,8.55999483815292,State University,3.4348188272952687,Recruiter_14,Recruiter Outreach,"Tableau, Project Management, Python, Excel, React, Communication",6,70.51488974301198,Finance,5399976450,candidate3@zwygamail.com,2025-03-18 04:04:49.887992,2025-03-18 04:04:49.887992,0,0.0,,,,,2025Q1,2025-03
APP_00004,Application,Advanced,Male,Operations,Asia Pacific,Entry,0.07377389470906559,UCLA,2.6324915138803835,Recruiter_09,job fair,"Tableau, Leadership",2,74.60229186826174,Finance,7109517287,candidate4@aifpcmail.com,2025-03-08 04:04:49.888144,2025-03-08 04:04:49.888144,0,0.0,,,,,2025Q1,2025-03
APP_00005,Application,Advanced,Male,Engineering,Asia Pacific,Entry,1.059301156712013,Columbia,3.817544244367463,Recruiter_18,Company Website,"Excel, React",2,82.89672242002044,Consulting,+1-672-298-3200,,2025-01-29 04:04:49.888305,2025-01-29 04:04:49.888305,0,0.0,,,,,2025Q1,2025-01
APP_00006,Application,Advanced,Male,HR,Asia Pacific,Mid,3.4003136307787027,University of Washington,3.764204887397867,Recruiter_19,LinkedIn,"SQL, Kubernetes, Tableau, Excel, Project Management, Leadership",6,74.55411963468914,Other,+1-315-390-1980,candidate6@wacrymail.com,2025-03-02 04:04:49.888448,2025-03-02 04:04:49.888448,0,0.0,,,,,2025Q1,2025-03
APP_00007,Application,Advanced,Female,Finance,Europe,Senior,17.732342979013197,UC Berkeley,50.90425193890195,Recruiter_16,university career fair,"Excel, React, Tableau",3,77.9301970882046,Finance,+1-204-302-6315,candidate7@fmtocmail.com,2025-05-21 04:04:49.888589,2025-05-21 04:04:49.888589,0,0.0,,,,,2025Q2,2025-05
APP_00008,Application,Advanced,Female,Marketing,Europ3,Entry,1.8692279946794195,MIT,3.2722579688740887,Recruiter_12,University Career Fair,"SQL, Tableau, Agile, Analytics, JavaScript, Excel",6,71.93075241783617,Non-profit,+1-403-417-7617,candidate8@pugdamail.com,2025-02-20 04:04:49.888768,2025-02-20 04:04:49.888768,0,0.0,,,,,2025Q1,2025-02
APP_00009,Application,Advanced,Male,HR,Latin America,Senior,7.70271846460542,UC Berkeley,4.0,Recruiter_20,Referral,"Tableau, Project Management, JavaScript, AWS, Excel",5,45.71868300716247,Startup,+1-700-825-1412,candidate9@xdyuymail.com,2025-01-28 04:04:49.888909,2025-01-28 04:04:49.888909,0,0.0,,,,,2025Q1,2025-01
APP_00010,Application,Advanced,Male,HR,Europe,Entry,,International University,3.190724762565156,Recruiter_03,Job Fair,"AWS, SQL, Kubernetes, Python, Tableau",5,89.23714481671497,Government,+1-385-597-5729,candidate10@ecwkkmail.com,2025-03-16 04:04:49.889048,2025-03-16 04:04:49.889048,0,0.0,,,,,2025Q1,2025-03
APP_00011,Application,Advanced,Male,Data Science,Asia Pacific,Entry,0.7004364934006271,MIT,3.51595312461485,Recruiter_19,Referral,"Agile, Leadership, Python, React",4,72.19162565476779,Startup,+1-547-389-1504,candidate11@qyxafmail.com,2025-02-13 04:04:49.889191,2025-02-13 04:04:49.889191,0,0.0,,,,,2025Q1,2025-02
APP_00012,Application,Advanced,Male,Marketing,Asia Pacific,Entry,1.9008229681531175,MIT,,Recruiter_17,Referral,"AWS, Excel, Machine Learning",3,,Startup,+1-923-660-3779,candidate12@pmncfmail.com,2025-06-15 04:04:49.889329,2025-06-15 04:04:49.889329,0,0.0,,,,,2025Q2,2025-06
APP_00013,Application,Advanced,,Engineering,Europe,Entry,1.8263315045152857,UC Berkeley,3.5369827672030056,Recruiter_17,Indeed,"Tableau, Agile",2,100.0,Consulting,+1-253-435-9580,candidate13@yqpowmail.com,2025-01-19 04:04:49.889468,2025-01-19 04:04:49.889468,0,0.0,,,,,2025Q1,2025-01
APP_00014,Application,Advanced,Male,Data Science,Asia Pacific,Senior,8.213950293667828,Columbia,3.394112696546025,Recruiter_06,Recruiter Outreach,"SQL, React, Communication, Leadership",4,86.9460814454449,Big Tech,+1-250-602-8956,candidate14@erjvumail.com,2025-04-11 04:04:49.889610,2025-04-11 04:04:49.889610,0,0.0,,,,,2025Q2,2025-04
APP_00015,Application,Advanced,Male,Data Science,North America,Mid,3.481888411165528,CMU,3.1054351310969412,Recruiter_16,University Career Fair,"JavaScript, SQL, Python",3,83.6925660232478,Consulting,+1-391-830-9905,candidate15@gyqgvmail.com,,,0,,,,,,,
